CGCS2000坐标系;西安80坐标系;9.392578125;-115.08935546875;0;0;0;-0.0815810231283954;-3.50689515471458E-06
CGCS2000坐标系;北京54坐标系;93.4814453125;-59.017822265625;0;0;0;-0.994192801226583;-1.16229057312012E-05
北京54坐标系;CGCS2000坐标系;-93.4814453125;59.01904296875;0;0;0;0.9942058392006;1.16226729005575E-05
北京54坐标系;西安80坐标系;-84.09375;-56.0706787109375;0;0;0;0.912630823564954;8.1164762377739E-06
西安80坐标系;北京54坐标系;84.0888671875;56.070556640625;0;0;0;-0.912616564746472;-8.11601057648659E-06
西安80坐标系;CGCS2000坐标系;-9.388671875;115.090209960938;0;0;0;0.0815761382849379;3.50619666278362E-06
西安80坐标系;当地坐标系;38.404296875;33.9051513671875;0;0;0;-1.72856616062893;2.99303792417049E-06
北京54坐标系;当地坐标系;-45.6884765625;-22.16650390625;0;0;0;-0.815948373689752;1.11090485006571E-05
CGCS2000坐标系;当地坐标系;47.796875;-81.1846923828125;0;0;0;-1.81013919074352;-5.14090061187744E-07
当地坐标系;CGCS2000坐标系;-47.7919921875;81.185546875;0;0;0;1.81014020750324;5.13158738613129E-07
当地坐标系;北京54坐标系;45.6875;22.1663818359375;0;0;0;0.815932609465759;-1.11092813313007E-05
当地坐标系;西安80坐标系;-38.404296875;-33.904541015625;0;0;0;1.72855283100059;-2.99280509352684E-06
